filename,cloaked_distance,ai_distance
65_0_0_20170111210651348,0.523629,0.632601
37_1_1_20170116001322849,0.350329,0.444756
38_1_1_20170113005602013,0.260126,0.464599
31_0_0_20170113183712471,0.0002,0.656616
81_1_0_20170110140600243,0.320872,0.281714
70_1_0_20170110140931962,0.324718,0.31428
66_1_0_20170110140359075,0.410798,0.379711
23_1_4_20170117194303197,0.280352,0.464259
66_1_0_20170110160643970,0.602486,0.573718
61_0_0_20170111202300415,0.632463,0.683554
29_1_0_20170117130626511,0.281262,0.414723
64_1_0_20170110182136419,0.659824,0.631966
54_0_2_20170116193431300,0.259093,0.487588
33_1_0_20170117174803471,0.21314,0.350445
78_0_1_20170117195212700,0.097915,0.25615
32_1_1_20170113012612272,ERROR,ERROR
41_0_0_20170117131132677,0.788752,0.81309
68_1_0_20170110141150729,0.559763,0.557628
65_1_0_20170110140924521,0.422292,0.328792
36_0_1_20170113141753251,0.37991,0.328462
80_1_0_20170117175612764,0.292323,0.266119
50_1_1_20170114031511007,0.007967,0.443602
38_0_3_20170116223006279,0.265715,0.40062
77_0_1_20170117173757948,0.879705,0.853161
25_1_1_20170113011541030,0.44749,0.46169
68_0_0_20170111205947306,ERROR,ERROR
37_1_4_20170116002040232,0.304777,0.462125
33_0_4_20170117202448894,0.68244,0.697172
32_1_0_20170112224814924,0.280295,0.424041
62_1_0_20170110173810498,0.541632,0.503276
36_1_1_20170117171355933,0.171229,0.348014
32_0_0_20170117173304428,0.866643,0.589474
60_1_1_20170113185112295,ERROR,ERROR
72_1_0_20170110182955408,0.494331,0.405098
74_0_0_20170111223743652,0.588454,0.49649
50_1_0_20170110141422320,0.612473,0.65223
38_1_0_20170116003418066,0.368651,0.322346
63_1_0_20170110143421537,0.448155,0.423541
57_0_0_20170111171747487,0.304178,0.36935
35_1_1_20170114024724202,0.243909,0.43003
60_0_0_20170111205328800,0.287599,0.493454
59_0_0_20170111171747529,0.331036,0.402779
40_0_0_20170117180244078,0.944315,0.436798
45_1_0_20170117193323733,0.636065,0.664426
35_1_0_20170117192047033,0.0,0.759193
48_0_0_20170117144639785,0.317275,0.40891
38_1_1_20170113010502255,0.225363,0.282435
28_1_1_20170113012541073,0.0,0.389915
65_1_0_20170110123555351,0.627766,0.582535
22_1_1_20170113010402343,0.45282,0.463927
53_0_0_20170111202247097,0.464999,0.570051
80_0_1_20170111205551658,0.214057,0.309214
27_0_0_20170117010049965,0.191405,0.487418
40_0_0_20170104204933500,0.254938,0.912003
50_1_0_20170110143400936,ERROR,ERROR
47_1_1_20170116160632406,0.43408,0.42251
23_1_2_20170116173241444,0.026695,0.342002
24_1_4_20170116214244943,0.463911,0.423415
27_1_2_20170116171014589,0.273424,0.317019
65_0_1_20170113174805802,0.41383,0.960301
39_1_1_20170113012940833,0.528077,0.56043
36_1_1_20170113011647678,0.164606,0.308311
29_0_0_20170116024240065,0.46269,0.549263
68_0_0_20170111222231920,0.369515,0.547784
69_1_0_20170110141304032,0.691097,0.66632
60_0_1_20170117175043836,0.277387,0.28221
34_0_1_20170113182409981,0.24948,0.349949
61_0_0_20170117174443309,0.460152,0.542668
29_1_2_20170116191212709,0.742273,0.68878
23_1_3_20170117144834977,0.0,0.380231
90_1_0_20170110182536477,ERROR,ERROR
31_0_1_20170113174744610,0.617427,0.770316
45_0_4_20170117172212027,0.246058,0.352587
77_0_0_20170113210319811,0.029839,0.478678
59_1_0_20170110141359968,0.423666,0.441867
55_0_0_20170117201004124,0.428064,0.565771
63_0_0_20170117195020915,0.306783,0.427659
60_1_0_20170110143332456,0.012637,0.354505
87_1_0_20170110181045529,0.163044,0.415712
34_0_0_20170114031602748,0.274159,0.369099
64_0_0_20170111171747624,0.822225,0.810827
66_1_0_20170110122200303,0.440828,0.538456
55_0_0_20170117155215077,0.425218,0.614143
23_0_2_20170114024549242,0.173593,0.270991
